platform,row.complexity,n.rows,time.in.ns,memory.usage.in.mb,date.test.performed
isa4J,minimal,5000,50227434,-1,2020-07-26T20:22:32.729909
isa4J,minimal,5000,48924196,-1,2020-07-26T20:22:32.809363
isa4J,minimal,5000,70282169,-1,2020-07-26T20:22:32.909032
isa4J,minimal,5000,86454952,-1,2020-07-26T20:22:33.027402
isa4J,minimal,5000,81625816,-1,2020-07-26T20:22:33.141886
isa4J,minimal,5000,78631464,-1,2020-07-26T20:22:33.253664
isa4J,minimal,5000,72291206,-1,2020-07-26T20:22:33.359719
isa4J,minimal,10000,150311605,-1,2020-07-26T20:22:33.544674
isa4J,minimal,10000,125021066,-1,2020-07-26T20:22:33.705717
isa4J,minimal,10000,169744769,-1,2020-07-26T20:22:33.912871
isa4J,minimal,10000,127569348,-1,2020-07-26T20:22:34.077374
isa4J,minimal,10000,100112560,-1,2020-07-26T20:22:34.214636
isa4J,minimal,10000,93678383,-1,2020-07-26T20:22:34.345383
isa4J,minimal,10000,93773957,-1,2020-07-26T20:22:34.475086
isa4J,minimal,10000,93899851,-1,2020-07-26T20:22:34.603684
isa4J,minimal,10000,93786217,-1,2020-07-26T20:22:34.733623
isa4J,minimal,10000,93667095,-1,2020-07-26T20:22:34.863905
isa4J,minimal,10000,94698789,-1,2020-07-26T20:22:34.996456
isa4J,minimal,10000,93887701,-1,2020-07-26T20:22:35.124958
isa4J,minimal,10000,93316628,-1,2020-07-26T20:22:35.253481
isa4J,minimal,10000,93674038,-1,2020-07-26T20:22:35.381768
isa4J,minimal,10000,93825823,-1,2020-07-26T20:22:35.511672
isa4J,minimal,25000,295352453,-1,2020-07-26T20:22:35.849284
isa4J,minimal,25000,246417912,-1,2020-07-26T20:22:36.140323
isa4J,minimal,25000,292991893,-1,2020-07-26T20:22:36.477253
isa4J,minimal,25000,245783466,-1,2020-07-26T20:22:36.769344
isa4J,minimal,25000,355324529,-1,2020-07-26T20:22:37.169341
isa4J,minimal,25000,255027784,-1,2020-07-26T20:22:37.467656
isa4J,minimal,25000,315248385,-1,2020-07-26T20:22:37.824089
isa4J,minimal,25000,241008339,-1,2020-07-26T20:22:38.107464
isa4J,minimal,25000,315040045,-1,2020-07-26T20:22:38.465502
isa4J,minimal,25000,240671286,-1,2020-07-26T20:22:38.748031
isa4J,minimal,25000,299166266,-1,2020-07-26T20:22:39.089005
isa4J,minimal,25000,283493290,-1,2020-07-26T20:22:39.415997
isa4J,minimal,25000,248834341,-1,2020-07-26T20:22:39.706594
isa4J,minimal,25000,239720965,-1,2020-07-26T20:22:39.990574
isa4J,minimal,25000,312722123,-1,2020-07-26T20:22:40.347308
isa4J,minimal,50000,505383955,-1,2020-07-26T21:17:54.611042
isa4J,minimal,50000,567929346,-1,2020-07-26T21:17:55.260139
isa4J,minimal,50000,543047628,-1,2020-07-26T21:17:55.868457
isa4J,minimal,50000,492839379,-1,2020-07-26T21:17:56.428461
isa4J,minimal,50000,570972913,-1,2020-07-26T21:17:57.052002
isa4J,minimal,50000,510199697,-1,2020-07-26T21:17:57.617254
isa4J,minimal,50000,519546690,-1,2020-07-26T21:17:58.198681
isa4J,minimal,50000,534365937,-1,2020-07-26T21:17:58.789598
isa4J,minimal,50000,582511439,-1,2020-07-26T21:17:59.437127
isa4J,minimal,50000,537276614,-1,2020-07-26T21:18:00.032269
isa4J,minimal,50000,514582267,-1,2020-07-26T21:18:00.608634
isa4J,minimal,50000,540506260,-1,2020-07-26T21:18:01.208286
isa4J,minimal,50000,456911842,-1,2020-07-26T21:18:01.728217
isa4J,minimal,50000,538857643,-1,2020-07-26T21:18:02.329331
isa4J,minimal,50000,589423393,-1,2020-07-26T21:18:02.988662
isa4J,minimal,100000,850127680,-1,2020-07-26T21:18:03.918241
isa4J,minimal,100000,847418651,-1,2020-07-26T21:18:04.845634
isa4J,minimal,100000,787753008,-1,2020-07-26T21:18:05.721854
isa4J,minimal,100000,788758093,-1,2020-07-26T21:18:06.587702
